h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
89194ac3593ffff,1715.1091,0,0,0,0,0,0,0,london,0.03652328194859256,4003.0,85.80848725493672
89194ad95d7ffff,1055.1837,0,0,5,1,0,0,0,london,0.03647854346925433,4004.0,85.80494203566491
891f1d4d057ffff,724.24,0,0,23,1,0,0,0,berlin,0.03640079365079365,4005.0,85.8013968163931
89195da6bd3ffff,2003.5082,0,0,13,0,0,1,0,london,0.036352380952380955,4006.0,85.79785159712128
89194ad36dbffff,2759.4204,0,0,1,1,0,0,0,london,0.03626931446239035,4007.0,85.79430637784947
89194ac32c3ffff,959.8993,0,0,0,0,0,0,0,london,0.03625082761785482,4008.0,85.79076115857765
89194e6db2fffff,422.6418,0,0,3,0,1,0,0,london,0.03624242424242424,4009.0,85.78721593930585
891f1d4c5dbffff,496.59045,0,0,0,0,0,0,0,berlin,0.03602049295559195,4010.0,85.78367072003404
89194ac2417ffff,496.59503,0,0,0,0,0,0,0,london,0.03602049295559195,4010.0,85.78367072003404
89194ad9d9bffff,1710.7557,0,0,0,0,0,0,0,london,0.03594783649017559,4012.0,85.77658028149041
89194ad052fffff,1711.4335,0,0,0,0,0,0,0,london,0.03594783649017559,4012.0,85.77658028149041
89194e690cfffff,1710.8633,0,0,0,0,0,0,0,london,0.03594783649017559,4012.0,85.77658028149041
89194e6d59bffff,1710.2643,0,0,0,0,0,0,0,london,0.03594783649017559,4012.0,85.77658028149041
89194e6aad3ffff,682.1728,0,0,1,1,0,0,0,london,0.03593908723070921,4016.0,85.76239940440317
891f1d486a7ffff,682.334,0,0,1,1,0,0,0,berlin,0.03593908723070921,4016.0,85.76239940440317
89194ad19b3ffff,1467.4883,0,0,0,1,0,0,0,london,0.03590385311079532,4018.0,85.75530896585954
89194e692abffff,397.69052,0,0,0,0,0,0,0,london,0.03579429174665581,4019.0,85.75176374658773
89195da6863ffff,2537.7786,2,0,10,0,0,1,0,london,0.03572277963582311,4020.0,85.74821852731591
891f1d4dd57ffff,625.84735,0,1,1,1,0,0,0,berlin,0.035694444444444445,4021.0,85.7446733080441
89194ac310fffff,982.3147,1,0,4,0,0,0,0,london,0.035653929073817266,4022.0,85.74112808877229
891f1d48cd7ffff,709.35205,0,1,3,0,0,0,0,berlin,0.03565185987721199,4023.0,85.73758286950047
89194e6d14bffff,891.1174,0,0,0,0,0,0,0,london,0.03564976890789883,4024.0,85.73403765022867
89194ad1dcfffff,891.03394,0,0,0,0,0,0,0,london,0.03564976890789883,4024.0,85.73403765022867
89194ada5abffff,2640.519,0,0,16,0,0,0,0,london,0.03562314239705545,4026.0,85.72694721168504
89195da6a3bffff,2148.9028,0,0,2,0,0,0,0,london,0.035616241424379684,4027.0,85.72340199241323
89194e69d03ffff,2141.6816,0,0,2,0,0,0,0,london,0.035616241424379684,4027.0,85.72340199241323
89194ada483ffff,2146.441,0,0,2,0,0,0,0,london,0.035616241424379684,4027.0,85.72340199241323
89194ad164bffff,1918.1511,0,0,5,0,0,0,0,london,0.035571627004087676,4030.0,85.7127663345978
891fb4666afffff,4324.938,0,0,20,0,0,0,0,paris,0.03556666666666666,4031.0,85.70922111532599
891fb4646cbffff,3806.5571,1,0,6,0,0,0,0,paris,0.035537262872628726,4032.0,85.70567589605417
89195da4aa7ffff,1662.7343,0,0,3,2,0,0,0,london,0.03553599334118793,4033.0,85.70213067678236
